country,name,full_name,isin,currency,symbol,Type,Avg_Volume,Recommendation
brazil,Vbi Cri,Fi Imobiliario Vbi Cri,BRCVBICTF001,BRL,CVBI11,FII/Unit,26753.0,none
brazil,UNICASA ON,UNICASA Industria de Moveis SA,BRUCASACNOR1,BRL,UCAS3,ON,26748.0,none
brazil,CSHG RENDA URBANA FII,CSHG RENDA URBANA FII,BRHGRUCTF002,BRL,HGRU11,FII/Unit,26471.0,none
brazil,FII BC FUND,FII BC FUND,BRBRCRCTF000,BRL,BRCR11,FII/Unit,26106.0,none
brazil,FII JS REAL,FII JS REAL,BRJSRECTF007,BRL,JSRE11,FII/Unit,25663.0,none
brazil,NCH Brasil Recebíveis Imobiliários,NCH Brasil Recebíveis Imobiliários,BRNCHBCTF000,BRL,NCHB11,FII/Unit,23648.0,none
brazil,OI PN,Oi SA Pref,BROIBRACNPR8,BRL,OIBR4,PN,22754.0,none
brazil,Eli Lilly and Co BDR,Eli Lilly and Co BDR,BRLILYBDR006,BRL,LILY34,BDR,22382.0,none
brazil,Santander Papeis Imobiliários CDI,Santander Papeis Imobiliários CDI,BRSADICTF007,BRL,SADI11,FII/Unit,22324.0,none
brazil,JPMorgan Chase Co BDR,JPMorgan Chase & Co BDR,BRJPMCBDR009,BRL,JPMC34,BDR,21585.0,none
brazil,BRASKEM ON,Braskem SA,BRBRKMACNOR1,BRL,BRKM3,ON,21539.0,none
brazil,Walt Disney Co BDR,Walt Disney Co BDR,BRDISBBDR006,BRL,DISB34,BDR,21449.0,none
brazil,INEPAR ON,Inepar SA Industria e Construcoes,BRINEPACNOR1,BRL,INEP3,ON,21228.0,none
brazil,Exxon Mobil Corp BDR,Exxon Mobil Corp BDR,BREXXOBDR006,BRL,EXXO34,BDR,20636.0,none
brazil,RBR Properties,RBR Properties,BRRBRPCTF002,BRL,RBRP11,FII/Unit,19794.0,none
brazil,VINCI LOGISTICA FII,VINCI LOGISTICA FII,BRVILGCTF001,BRL,VILG11,FII/Unit,19107.0,none
